,Unnamed: 0,x,y
0,0,127.0137248,37.55578326
25,25,127.0069077,37.56410564
52,52,127.012193,37.56474465
60,60,127.0136562,37.56487784
150,150,127.0136964,37.56453933
107,107,127.0137482,37.56414964
38,38,127.0134532,37.56310335
74,74,127.0134012,37.56296695
41,41,127.0138041,37.56257307
163,163,127.0145215,37.5623317
166,166,127.014625,37.56253847
24,24,127.0149865,37.56297117
159,159,127.0150536,37.56323921
164,164,127.0147033,37.56416494
160,160,127.0143789,37.56407235
37,37,127.0153922,37.56380003
0,0,127.0137248,37.55578326
126,126,127.0094079,37.55272326
120,120,127.0083639,37.55179324
117,117,127.0080316,37.54956969
119,119,127.0070938,37.54783893
75,75,127.0105758,37.55185325
71,71,127.0118113,37.5525888
100,100,127.0104839,37.55413693
0,0,127.0137248,37.55578326
146,146,127.0116512,37.56801136
145,145,127.0125586,37.56765591
148,148,127.0129785,37.56931586
147,147,127.0127963,37.56931606
158,158,127.0125417,37.56932086
142,142,127.0122886,37.5693308
153,153,127.01269,37.56794097
155,155,127.0136809,37.5679069
110,110,127.013761,37.56761911
99,99,127.017036,37.56750218
83,83,127.0171803,37.5673152
78,78,127.0183911,37.56747107
89,89,127.0189831,37.56746999
7,7,127.0178259,37.56753126
156,156,127.0141861,37.5675741
157,157,127.0143871,37.56729774
143,143,127.0144379,37.56713546
144,144,127.0145137,37.56678614
8,8,127.0124052,37.56512224
140,140,127.0124067,37.56606756
154,154,127.0133592,37.56622414
0,0,127.0137248,37.55578326
