,차량번호,보고시각,주소(지번),x좌표,y좌표,
1,800조2173,2024-02-08 06:14:09,서울특별시 중구 신당동 233-17,127.011186524377,37.5646447417702,
2,800조2173,2024-02-08 06:17:09,서울특별시 중구 신당동 224-24,127.013132152182,37.5649398879462,
3,800조2173,2024-02-08 06:35:09,서울특별시 중구 신당동 348-43,127.011734368121,37.5546517308883,
4,800조2173,2024-02-08 06:47:10,서울특별시 중구 신당동 102-1,127.016214265763,37.5639510218937,
5,800조2173,2024-02-08 06:50:10,서울특별시 중구 신당동 130-1,127.018744128906,37.5654576536211,
6,800조2173,2024-02-08 06:56:10,서울특별시 중구 신당동 465,127.026167064243,37.5649064539226,
7,800조2173,2024-02-08 06:59:09,서울특별시 성동구 하왕십리동 903-1,127.02917661249,37.5643297416563,
8,800조2173,2024-02-08 07:02:10,서울특별시 성동구 상왕십리동 771-5,127.02468405884,37.5651869831028,
9,800조2173,2024-02-08 07:05:09,서울특별시 중구 황학동 1104,127.02322143093,37.5680672231898,
10,800조2173,2024-02-08 07:14:10,서울특별시 중구 황학동 163-10,127.01855503321,37.570647598949,
11,800조2173,2024-02-08 07:17:10,서울특별시 중구 황학동 1835,127.019724105097,37.5697130772095,
12,800조2173,2024-02-08 07:23:10,서울특별시 중구 황학동 2250,127.022272037056,37.5717047246173,
13,800조2173,2024-02-08 07:26:10,서울특별시 중구 황학동 1540,127.021733489657,37.569534147096,
14,800조2173,2024-02-08 07:44:10,서울특별시 중구 황학동 241,127.018507777824,37.5672331034596,
15,800조2173,2024-02-08 07:53:11,서울특별시 중구 황학동 1160-1,127.022150777487,37.5681817652787,
16,800조2173,2024-02-08 07:56:11,서울특별시 중구 황학동 2490,127.023079910588,37.5654026456681,
17,800조2173,2024-02-08 08:02:11,서울특별시 중구 흥인동 72,127.017272153687,37.56563618527,
18,800조2173,2024-02-08 08:08:11,서울특별시 중구 흥인동 156,127.015876642222,37.5666692829955,
19,800조2173,2024-02-08 08:11:11,서울특별시 중구 흥인동 150,127.014805718848,37.5665195865315,
20,800조2173,2024-02-08 08:47:12,서울특별시 중구 필동1가 56-1,126.993453661222,37.5612185104607,
21,800조2173,2024-02-08 09:29:12,서울특별시 중구 신당동 373-111,127.012092102855,37.5518348147176,
22,800조2173,2024-02-08 09:38:11,서울특별시 중구 신당동 368-116,127.0101205023,37.5535864502965,
23,800조2173,2024-02-08 09:50:11,서울특별시 중구 신당동 313-99,127.016461585343,37.5593561748683,
24,800조2173,2024-02-08 10:11:12,서울특별시 중구 황학동 669-1,127.02111543563,37.5662868003742,
25,800조2173,2024-02-08 10:14:12,서울특별시 중구 황학동 1009,127.021444855677,37.5672085499025,
26,800조2173,2024-02-08 10:20:12,서울특별시 중구 황학동 2071,127.019686129494,37.5695029714056,
27,800조2173,2024-02-08 10:26:12,서울특별시 중구 황학동 73-3,127.019343624955,37.5695895235872,
28,800조2173,2024-02-08 10:29:13,서울특별시 중구 황학동 1760,127.020195867546,37.5695869481838,
29,800조2173,2024-02-08 10:38:12,서울특별시 중구 신당동 150-7,127.021874594307,37.5651084296084,
30,800조2173,2024-02-08 10:53:13,서울특별시 중구 신당동 67-93,127.020603710689,37.5634315437616,
31,800조2173,2024-02-08 10:56:13,서울특별시 중구 신당동 67-266,127.020630443921,37.5626884873081,
32,800조2173,2024-02-08 10:59:13,서울특별시 중구 신당동 65-47,127.020898790501,37.5618300606637,
33,800조2173,2024-02-08 11:02:12,서울특별시 중구 신당동 47-16,127.018813036358,37.5608597676616,
34,800조2173,2024-02-08 11:05:13,서울특별시 중구 신당동 282-99,127.016821936224,37.5623236471711,
35,800조2173,2024-02-08 11:08:12,서울특별시 중구 신당동 291-53,127.016337806793,37.5626473531213,
36,800조2173,2024-02-08 11:14:13,서울특별시 중구 신당동 113-6,127.017604292078,37.5638929788463,
37,800조2173,2024-02-08 11:20:12,서울특별시 중구 신당동 151-9,127.022006354575,37.5647558453182,
38,800조2173,2024-02-08 11:24:37,서울특별시 중구 신당동 151-12,127.022022167343,37.5646421366476,
39,800조2173,2024-02-08 12:19:27,서울특별시 중구 필동2가 5-1,126.993558483318,37.56103867727,
40,800조2173,2024-02-08 12:22:27,서울특별시 중구 회현동1가 4-8,126.980455983855,37.5597642169068,
41,800조2173,2024-02-08 12:25:27,서울특별시 중구 남대문로5가 84-30,126.974297787008,37.5570295016117,
42,800조2173,2024-02-08 12:28:27,서울특별시 중구 순화동 208-4,126.971741677182,37.5592214942209,
43,800조2173,2024-02-08 12:40:26,서울특별시 중구 서소문동 136-1,126.974591906345,37.5631008428886,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
