0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171
0,1160,712,1258,1180,2213,902,1801,1636,1237,312,338,1321,1082,1313,764,296,791,1199,794,1358,1660,23,2395,1062,2406,792,1316,828,590,336,2114,1759,1411,762,1186,1363,1973,1134,1253,288,1027,779,914,678,2394,2519,1110,943,1269,1278,1021,1499,1641,2345,415,941,1432,846,893,1632,1496,2022,2421,986,1778,337,1598,1951,205,1482,949,430,1384,1118,1001,1740,2245,1867,2095,2238,1803,1838,1566,2210,2312,2736,2763,2255,1908,2346,1546,2254,2576,2176,2178,1633,2224,2080,1567,854,39,1959,2170,2245,2231,1984,1714,1428,1559,1815,2005,2173,960,884,1371,1419,2362,1337,1713,2583,931,2230,1221,976,1201,1074,2175,1709,3074,1585,2367,1768,3035,1730,1537,1345,1846,2143,2124,1742,2007,2419,1893,1933,2230,1953,2437,2442,1230,1674,871,850,2640,1925,1783,1845,1877,2416,1093,1754,281,1452,982,1852,532,1006,959,514,1055,1347,5337
1160,0,546,432,690,1723,1105,1311,1146,747,804,1167,495,592,823,120,788,1421,38,304,868,1170,1346,1905,572,1982,302,826,124,1082,828,1624,1269,921,1392,302,873,1483,644,427,780,537,289,210,188,1904,2029,620,239,443,452,531,1009,1151,1423,444,451,942,142,403,1142,1006,1532,1931,496,1074,938,1108,742,978,992,1152,459,894,628,1204,1250,1755,1377,1605,1748,1313,1348,1076,1720,1822,2246,2273,1765,1418,1856,1056,1764,2086,1686,1688,1143,1734,1590,1077,1057,781,1469,1680,1755,786,1494,1224,938,1069,1325,1515,1683,1163,1087,881,593,2565,511,1916,2786,1134,1740,395,1179,711,1277,1685,1219,2370,1095,1877,1278,2331,1240,1047,855,1356,1653,1634,1252,1517,1929,1403,1443,1740,1463,1947,1952,526,1184,381,273,2150,1435,1293,1355,1387,1926,603,1264,882,962,492,1362,371,516,255,448,565,857,4913
712,546,0,624,763,1796,1178,1384,1219,820,877,1240,898,665,896,233,861,1494,657,377,941,1243,1419,1978,645,2055,375,899,168,1155,901,1697,1342,994,1465,494,946,1556,717,619,853,610,362,87,261,1977,2102,693,116,635,644,604,1082,1224,1496,321,524,1015,317,476,1215,1079,1605,2004,569,882,550,1181,1534,1051,1065,1225,336,967,701,1277,1323,1828,1450,1678,1821,1386,1421,1149,1793,1895,2319,2346,1838,1491,1929,1129,1837,2159,1759,1761,1216,1807,1663,1150,1130,445,1542,1753,1828,1149,1567,1297,1011,1142,1398,1588,1756,1236,1160,954,785,2638,884,1989,2859,1207,1813,587,1252,784,1350,1758,1292,2178,1168,1950,1351,2139,1313,1120,928,1429,1726,1707,1325,1590,2002,1476,1516,1813,1536,2020,2025,334,1257,454,433,2223,1508,1366,1428,1460,1999,676,1337,955,1035,565,1435,248,589,132,256,638,930,4986
1258,432,624,0,1123,1532,1538,1120,955,556,1237,1600,62,1025,1256,553,1221,1854,471,737,1301,979,1779,1714,706,2223,735,1259,557,1515,1261,1433,1702,1354,1825,153,682,688,761,21,1213,671,722,643,621,1713,1838,230,672,10,20,964,1442,960,1664,877,884,1375,575,836,1575,815,1341,1740,929,953,1371,917,336,1411,1425,1585,892,703,745,1637,1059,1564,1186,1414,1557,1122,1157,885,1529,1631,2055,2082,1574,1227,1665,865,1573,1895,1495,1497,952,1543,1399,886,1490,1214,551,1489,654,352,1303,1657,747,878,1134,1324,1492,1596,1520,378,187,2998,77,2349,3219,1567,466,95,1612,420,1710,689,566,2249,904,1686,469,2210,375,856,664,425,362,1443,1061,1326,1738,1212,1252,1549,1272,1756,1761,647,1617,814,557,1959,1244,1102,1164,1196,1735,737,734,1315,771,626,1795,804,650,688,881,998,1290,5154
1180,690,763,1123,0,1629,1463,1213,949,1105,1162,1525,1186,138,369,632,1146,1779,1067,494,414,1938,1704,1811,1197,1290,388,430,696,1440,1186,1526,577,229,1750,1054,1231,791,650,1118,1138,1162,582,782,502,1810,1698,978,811,1134,1143,159,317,1919,731,1016,239,250,714,285,450,912,1434,1837,192,1646,1296,1876,1367,1336,300,1510,1031,1252,666,1562,1152,1661,1279,1507,1650,1215,1250,978,1626,1724,2254,2281,2000,1320,1762,958,1670,1992,2046,1689,1045,1636,1492,979,1415,1139,1375,1582,1661,1647,1400,532,1296,872,1413,1417,1585,1521,1445,1239,1404,2923,1648,2274,3144,1492,1646,1086,1537,1069,1635,1591,1125,3290,1001,1783,1184,3251,1146,953,761,1262,1559,1540,1055,1605,1337,1491,1531,1182,1287,1431,1436,1098,492,351,550,1273,1288,1381,1443,1475,1340,1228,572,1240,1320,1117,670,943,1141,827,1020,124,165,4221
2213,1723,1796,1532,1629,0,2266,753,1073,1267,1965,2328,1365,1753,1984,1435,1949,2947,1384,1465,2029,678,2507,370,1240,2341,1463,1384,1499,3385,1989,1551,1031,1884,2918,1147,800,1066,1295,1297,1941,1205,1450,1585,1349,550,67,1071,1614,1313,1322,1692,1972,659,1782,1819,1612,1905,1517,1564,2105,1290,1459,577,1657,2182,2099,616,648,2139,1955,2313,1834,821,1279,2365,1177,128,1304,1532,550,1240,1275,1003,93,281,939,966,516,791,321,647,137,508,562,1487,723,1661,1517,1004,2218,1942,414,1607,700,686,140,1208,865,996,1252,1442,1610,2324,2248,1356,824,3726,1381,3077,3947,2295,685,1265,2340,1184,2438,630,621,2032,1379,523,486,1993,642,1331,1139,592,598,280,1179,1444,1856,1330,1370,1667,1772,1874,1879,1901,2147,1542,1285,2077,1362,1220,1282,1314,1853,1271,1112,2043,889,1160,1010,1746,1184,1630,1823,1726,1820,5272
902,1105,1178,1538,1463,2266,0,2131,1966,1567,685,581,1651,1412,1643,1094,752,482,1529,1124,1688,1990,762,2725,1392,2097,1122,1646,1158,920,709,2444,2247,1899,453,1516,1693,2461,2320,1583,661,1357,1109,1244,1008,2724,2849,1440,1273,1599,1608,1351,1987,1971,2229,1139,1271,1920,1176,1223,2120,1826,2352,2751,1316,2108,1076,1928,2281,942,1970,589,1154,1714,1448,641,2070,2575,2197,2425,2568,2133,2168,1896,2540,2642,3066,3093,2585,2238,2676,1876,2584,2906,2506,2508,1963,2554,2410,1897,254,776,2289,2500,2575,2561,2314,2202,1758,1889,2538,2335,2503,268,524,1701,1749,1647,1667,998,1868,28,2560,1551,253,1531,171,2505,2039,3028,1915,2697,2098,2989,2060,1867,1675,2176,2473,2454,2072,2730,2462,2616,2656,2307,2412,2556,2561,1560,2162,1201,1180,2398,2413,2506,2568,2600,2465,1423,2242,1020,1782,1312,2340,1405,1336,1289,1482,1385,1835,5028
1801,1311,1384,1120,1213,753,2131,0,887,694,1783,2146,1183,1571,1802,1253,1767,2761,1202,1283,1847,347,2325,751,1058,2155,1281,1202,1317,2061,1807,465,849,1698,2732,965,614,884,1113,1115,1759,1023,1268,1403,1167,202,870,889,1432,1131,1140,1510,1786,328,1596,1637,1430,1719,1335,1382,1919,773,373,246,1475,2267,1917,285,1228,1957,1769,2131,1652,635,1097,2183,91,949,98,446,589,154,189,94,914,663,1195,1222,606,90,702,236,958,512,527,529,188,575,517,149,2036,1760,1217,521,1503,1489,943,1026,484,810,492,356,568,2142,2066,937,1265,3544,1199,2895,3765,2113,1488,1083,2158,1002,2256,1433,986,2835,862,273,1045,2796,1007,814,622,1123,1401,1083,993,684,714,570,610,1481,630,732,737,1719,1009,1360,1103,1891,688,460,522,554,711,1089,930,1861,432,978,828,1564,1002,1448,1641,1544,1634,5086
1636,1146,1219,955,949,1073,1966,887,0,1341,2181,2621,1581,1565,1796,1651,2165,2448,1600,1681,1841,2205,2800,1475,1456,1842,1679,1260,1715,2886,2769,1189,1085,1385,2419,1363,584,1299,1158,1513,2157,1421,1666,1801,1565,2077,1594,1287,1830,1529,1538,1586,825,2186,1283,2035,1666,758,1733,1712,958,1420,1097,2104,1619,2665,2315,2143,1875,2355,808,2606,2050,563,1174,2658,815,1673,942,1170,1313,878,913,826,1638,1387,1854,1881,1330,983,1426,1195,1682,1236,1251,1253,1081,1299,1198,771,2511,2158,1883,1245,2169,2155,1667,1040,547,558,480,1080,1291,2617,2541,1584,1912,3942,1597,3293,4163,2588,2154,1481,2633,1400,2731,2099,1633,3559,1509,2050,1692,3520,1654,1461,1269,1770,2067,1807,106,381,505,415,375,316,421,523,528,2117,1000,1778,1501,1356,288,448,510,432,502,1487,1080,2259,495,1376,1178,1962,1400,1846,2039,1551,1321,4773
1237,747,820,556,1105,1267,1567,694,1341,0,1314,2486,638,1430,1661,784,1298,2313,657,814,1706,463,2665,1198,589,1707,1680,733,848,2751,2634,917,1598,1250,2284,420,166,415,644,570,2599,554,799,934,698,1197,1322,322,963,586,595,1451,1338,444,1148,1168,1531,1271,866,1577,1471,299,825,1224,1484,1798,1448,401,519,1488,1321,2471,1183,187,628,2523,543,1048,670,898,1041,606,641,369,1013,1115,1539,1566,1058,711,1149,349,1057,1379,979,981,436,1027,883,370,2376,1291,762,973,1048,1034,787,1553,231,362,618,808,976,2482,2406,319,791,4690,654,3235,4911,2453,1033,538,2498,257,2596,978,512,2677,388,1170,571,2638,533,340,148,414,946,927,545,810,1222,696,736,1033,756,1240,1245,1250,1513,1643,634,1443,728,586,648,680,1219,620,461,1392,255,509,475,1095,533,979,1172,1416,1186,4638
