,차량번호,보고시각,주소(지번),x좌표,y좌표
0,800조2173,2024-02-01 0:02,서울특별시 중구 신당동 345-23,127.0137248,37.55578326
1,800조2173,2024-02-01 0:08,서울특별시 중구 신당동 340-101,127.0125601,37.5565914
2,800조2173,2024-02-01 0:14,서울특별시 중구 신당동 340-127,127.0124475,37.55597667
4,800조2173,2024-02-01 0:32,서울특별시 중구 신당동 333-165,127.0131789,37.55864876
5,800조2173,2024-02-01 0:41,서울특별시 중구 신당동 287-62,127.0151491,37.56032618
6,800조2173,2024-02-01 0:50,서울특별시 중구 신당동 308-54,127.0126649,37.55994184
7,800조2173,2024-02-01 0:53,서울특별시 중구 신당동 236-291,127.0103598,37.56412539
8,800조2173,2024-02-01 0:56,서울특별시 중구 쌍림동 102,127.0029207,37.56323662
9,800조2173,2024-02-01 0:59,서울특별시 중구 필동2가 10-6,126.9937553,37.56130484
10,800조2173,2024-02-01 1:02,서울특별시 중구 충무로1가 13-2,126.9814143,37.5616652
11,800조2173,2024-02-01 1:08,서울특별시 중구 의주로2가 16-6,126.9685024,37.56159516
12,800조2173,2024-02-01 1:23,서울특별시 중구 서소문동 60-1,126.9735844,37.56263706
13,800조2173,2024-02-01 1:26,서울특별시 중구 회현동3가 11-1,126.9836869,37.56063795
14,800조2173,2024-02-01 1:29,서울특별시 중구 충무로5가 66-1,126.9983307,37.56219383
15,800조2173,2024-02-01 1:35,서울특별시 중구 신당동 312-10,127.0162541,37.55937801
17,800조2173,2024-02-01 1:44,서울특별시 중구 신당동 336-2,127.0128365,37.55890081
18,800조2173,2024-02-01 1:50,서울특별시 중구 신당동 44-40,127.0181571,37.56110674
19,800조2173,2024-02-01 1:59,서울특별시 중구 무학동 76,127.0153933,37.56395095
20,800조2173,2024-02-01 1:59,서울특별시 중구 무학동 43,127.015365,37.56476095
3,800조2173,2024-02-01 5:43,서울특별시 중구 신당동 236-348,127.0103552,37.56335459
5,800조2173,2024-02-01 5:50,서울특별시 중구 신당동 224-22,127.0124605,37.56503646
6,800조2173,2024-02-01 5:56,서울특별시 중구 신당동 249-69,127.0140013,37.56527982
7,800조2173,2024-02-01 5:59,서울특별시 중구 무학동 1,127.0158961,37.56500001
8,800조2173,2024-02-01 6:02,서울특별시 중구 신당동 295-48,127.0140634,37.560807
9,800조2173,2024-02-01 6:05,서울특별시 중구 신당동 295-3,127.0137345,37.5604142
10,800조2173,2024-02-01 6:11,서울특별시 중구 신당동 366-124,127.0077621,37.54969927
11,800조2173,2024-02-01 6:17,서울특별시 중구 신당동 368-66,127.0104284,37.55396169
12,800조2173,2024-02-01 6:38,서울특별시 중구 황학동 2478,127.0228268,37.56554721
13,800조2173,2024-02-01 6:41,서울특별시 성동구 상왕십리동 809-2,127.0236566,37.56548245
14,800조2173,2024-02-01 6:44,서울특별시 성동구 상왕십리동 816-2,127.0264022,37.56526761
15,800조2173,2024-02-01 6:50,서울특별시 중구 황학동 1410-1,127.0217203,37.56824482
16,800조2173,2024-02-01 6:53,서울특별시 중구 흥인동 2-20,127.0170157,37.56792241
17,800조2173,2024-02-01 6:56,서울특별시 중구 흥인동 159-1,127.0155104,37.56927456
18,800조2173,2024-02-01 7:02,서울특별시 종로구 숭인동 234-89,127.0197709,37.57146307
19,800조2173,2024-02-01 7:17,서울특별시 중구 흥인동 159-4,127.0157049,37.56852968
20,800조2173,2024-02-01 7:20,서울특별시 중구 흥인동 3-1,127.0166203,37.56779579
21,800조2173,2024-02-01 7:23,서울특별시 중구 황학동 1207-1,127.020769,37.56832203
22,800조2173,2024-02-01 7:26,서울특별시 성동구 상왕십리동 280-1,127.0235426,37.56706823
23,800조2173,2024-02-01 7:29,서울특별시 중구 황학동 2474-4,127.0234953,37.56582846
24,800조2173,2024-02-01 7:35,서울특별시 중구 황학동 740-1,127.0185208,37.56580809
25,800조2173,2024-02-01 7:38,서울특별시 중구 흥인동 114,127.0158325,37.56551556
26,800조2173,2024-02-01 7:44,서울특별시 중구 흥인동 149-3,127.014695,37.56644094
27,800조2173,2024-02-01 7:56,서울특별시 중구 을지로7가 2-38,127.01091,37.56589112
28,800조2173,2024-02-01 8:02,서울특별시 중구 흥인동 13-5,127.0162991,37.56661481
30,800조2173,2024-02-01 8:14,서울특별시 중구 충무로4가 91,126.9969371,37.56198567
37,800조2173,2024-02-01 9:29,서울특별시 중구 신당동 289-150,127.0171503,37.55931715
38,800조2173,2024-02-01 9:32,서울특별시 중구 신당동 387-20,127.0115288,37.56114839
42,800조2173,2024-02-01 10:02,서울특별시 중구 흥인동 9-3,127.0178259,37.56753126
44,800조2173,2024-02-01 10:11,서울특별시 성동구 상왕십리동 54-34,127.023579,37.56850414
46,800조2173,2024-02-01 10:29,서울특별시 중구 신당동 65-51,127.0208163,37.56178241
52,800조2173,2024-02-01 11:44,서울특별시 중구 신당동 248-8,127.0125091,37.56473993
54,800조2173,2024-02-01 12:08,서울특별시 중구 의주로1가 136-7,126.9687317,37.56178623
56,800조2173,2024-02-01 12:17,서울특별시 중구 소공동 45-4,126.9808612,37.56271586
1,800조2173,2024-02-01 18:27,서울특별시 중구 신당동 322-4,127.0145539,37.55897512
2,800조2173,2024-02-01 18:36,서울특별시 중구 신당동 347-376,127.0124212,37.55550869
8,800조2173,2024-02-01 19:27,서울특별시 중구 신당동 333-61,127.0136398,37.55746732
10,800조2173,2024-02-01 20:18,서울특별시 중구 신당동 282-114,127.0187383,37.56075355
13,800조2173,2024-02-01 20:45,서울특별시 중구 신당동 304-611,127.0114243,37.56298229
15,800조2173,2024-02-01 20:51,서울특별시 중구 신당동 236-57,127.012573,37.56237571
16,800조2173,2024-02-01 21:12,서울특별시 중구 의주로2가 16-68,126.9683443,37.56113525
20,800조2173,2024-02-01 21:36,서울특별시 중구 신당동 304-648,127.0104202,37.56244413
0,800조2173,2024-02-01 23:12,서울특별시 중구 신당동 304-199,127.01255,37.56333302
2,800조2173,2024-02-01 23:21,서울특별시 중구 신당동 304-201,127.0127099,37.56353294
4,800조2173,2024-02-01 23:27,서울특별시 중구 신당동 236-397,127.0108362,37.56411607
5,800조2173,2024-02-01 23:39,서울특별시 중구 남대문로4가 16-1,126.9762387,37.56041189
6,800조2173,2024-02-01 23:51,서울특별시 중구 서소문동 1-9,126.9762014,37.56402659
8,800조2173,2024-02-02 0:03,서울특별시 중구 신당동 294-124,127.0146771,37.56001071
17,800조2173,2024-02-02 0:51,서울특별시 중구 신당동 347,127.013162,37.55530165
26,800조2173,2024-02-02 2:57,서울특별시 중구 순화동 207-5,126.971727,37.5597028
3,800조2173,2024-02-02 7:02,서울특별시 중구 황학동 2072,127.0197399,37.56943305
6,800조2173,2024-02-02 7:35,서울특별시 중구 흥인동 100-3,127.0165708,37.56554483
7,800조2173,2024-02-02 7:44,서울특별시 중구 흥인동 127,127.0152602,37.56542977
15,800조2173,2024-02-02 8:44,서울특별시 중구 순화동 122-2,126.9709373,37.56032745
17,800조2173,2024-02-02 9:05,서울특별시 중구 신당동 372-2801,127.0108169,37.55172204
20,800조2173,2024-02-02 9:14,서울특별시 중구 신당동 373-1,127.0122015,37.55304133
21,800조2173,2024-02-02 9:17,서울특별시 중구 신당동 310-2,127.0136424,37.55982433
25,800조2173,2024-02-02 9:53,서울특별시 중구 황학동 2525,127.0217675,37.5666788
27,800조2173,2024-02-02 9:59,서울특별시 중구 황학동 2025,127.0202474,37.57029368
30,800조2173,2024-02-02 10:08,서울특별시 중구 신당동 150-6,127.0220354,37.56500884
