,statsYm,roadNmCd,ctpvNm,sggNm,roadNm,totNmprCnt,hhCnt,hhNmpr,maleNmprCnt,femlNmprCnt,maleFemlRate
0,202404,111402005001,서울특별시,중구,세종대로,69,68,1.01,57,12,4.75
1,202404,111402100001,서울특별시,중구,삼일대로,2,2,1.0,1,1,1.0
2,202404,111403000008,서울특별시,중구,통일로,461,294,1.57,249,212,1.17
3,202404,111403005001,서울특별시,중구,동호로,483,336,1.44,208,275,0.76
4,202404,111403005002,서울특별시,중구,무교로,4,3,1.33,2,2,1.0
5,202404,111403005004,서울특별시,중구,새문안로,2,1,2.0,2,0,2.0
6,202404,111403005006,서울특별시,중구,수표로,138,94,1.47,89,49,1.82
7,202404,111403005008,서울특별시,중구,창경궁로,37,31,1.19,23,14,1.64
8,202404,111403005009,서울특별시,중구,마장로,632,536,1.18,277,355,0.78
9,202404,111403005010,서울특별시,중구,서소문로,278,213,1.31,123,155,0.79
10,202404,111403005011,서울특별시,중구,왕십리로,1276,860,1.48,564,712,0.79
11,202404,111403100018,서울특별시,중구,난계로,1502,1130,1.33,542,960,0.56
12,202404,111403100021,서울특별시,중구,청계천로,4344,1979,2.2,2070,2274,0.91
13,202404,111403101001,서울특별시,중구,남대문로,24,20,1.2,16,8,2.0
14,202404,111403101002,서울특별시,중구,마른내로,1442,1177,1.23,671,771,0.87
15,202404,111403101003,서울특별시,중구,서애로,160,107,1.5,89,71,1.25
16,202404,111403101004,서울특별시,중구,소공로,1430,596,2.4,649,781,0.83
17,202404,111403101005,서울특별시,중구,소파로,73,40,1.83,34,39,0.87
18,202404,111403101006,서울특별시,중구,을지로,418,277,1.51,200,218,0.92
19,202404,111403101007,서울특별시,중구,중림로,2228,993,2.24,1024,1204,0.85
20,202404,111403101008,서울특별시,중구,청구로,3046,1250,2.44,1464,1582,0.93
21,202404,111403101009,서울특별시,중구,충무로,245,223,1.1,153,92,1.66
22,202404,111403101010,서울특별시,중구,칠패로,314,161,1.95,159,155,1.03
23,202404,111403101011,서울특별시,중구,퇴계로,3840,2060,1.86,1840,2000,0.92
24,202404,111403101012,서울특별시,중구,필동로,363,232,1.56,196,167,1.17
25,202404,111403101014,서울특별시,중구,다산로,13669,6813,2.01,6285,7384,0.85
26,202404,111403101016,서울특별시,중구,만리재로,4796,1950,2.46,2353,2443,0.96
27,202404,111403101018,서울특별시,중구,소월로,28,19,1.47,16,12,1.33
28,202404,111403101019,서울특별시,중구,손기정로,2,2,1.0,2,0,2.0
29,202404,111403101021,서울특별시,중구,장충단로,106,87,1.22,57,49,1.16
30,202404,111403101023,서울특별시,중구,청파로,1156,834,1.39,573,583,0.98
31,202404,111404103003,서울특별시,중구,난계로11길,787,489,1.61,384,403,0.95
32,202404,111404103004,서울특별시,중구,난계로13길,395,216,1.83,183,212,0.86
33,202404,111404103005,서울특별시,중구,난계로15길,519,344,1.51,246,273,0.9
34,202404,111404103006,서울특별시,중구,난계로17길,1133,746,1.52,528,605,0.87
35,202404,111404103007,서울특별시,중구,난계로19길,55,34,1.62,26,29,0.9
36,202404,111404103008,서울특별시,중구,난계로21길,491,320,1.53,241,250,0.96
37,202404,111404103009,서울특별시,중구,난계로23길,131,74,1.77,50,81,0.62
38,202404,111404103012,서울특별시,중구,남대문로10길,2,1,2.0,1,1,1.0
39,202404,111404103013,서울특별시,중구,남대문로1길,79,70,1.13,39,40,0.98
40,202404,111404103014,서울특별시,중구,남대문로5길,44,42,1.05,39,5,7.8
41,202404,111404103015,서울특별시,중구,남대문로7길,1,1,1.0,1,0,1.0
42,202404,111404103016,서울특별시,중구,남대문로9길,20,17,1.18,14,6,2.33
43,202404,111404103017,서울특별시,중구,남대문시장10길,3,3,1.0,0,3,0.0
