,행정동명,통,총인구수,세대수
0,동화동,1,448,190
1,동화동,2,286,152
2,동화동,3,412,218
3,동화동,4,471,205
4,동화동,5,366,183
5,동화동,6,673,244
6,동화동,7,703,247
7,동화동,8,717,247
8,동화동,9,350,161
9,동화동,10,514,220
10,동화동,11,463,216
11,동화동,12,345,204
12,동화동,13,751,277
13,동화동,14,756,250
14,동화동,15,580,217
15,동화동,16,259,98
0,신당제5동,1,291,183
1,신당제5동,2,571,439
2,신당제5동,3,469,301
3,신당제5동,4,631,341
4,신당제5동,5,615,271
5,신당제5동,6,374,194
6,신당제5동,7,328,161
7,신당제5동,8,641,235
8,신당제5동,9,471,175
9,신당제5동,10,519,192
10,신당제5동,11,514,194
11,신당제5동,12,488,251
12,신당제5동,13,437,172
13,신당제5동,14,407,217
14,신당제5동,15,471,247
15,신당제5동,16,681,338
16,신당제5동,17,203,147
0,신당동,1,332,195
1,신당동,2,569,449
2,신당동,3,360,284
3,신당동,4,265,193
4,신당동,5,340,240
5,신당동,6,417,257
6,신당동,7,154,116
7,신당동,8,393,244
8,신당동,9,214,152
9,신당동,10,133,79
10,신당동,11,169,108
11,신당동,12,245,137
12,신당동,13,605,328
13,신당동,14,472,255
14,신당동,15,360,198
15,신당동,16,338,200
16,신당동,17,471,294
17,신당동,18,886,385
18,신당동,19,699,622
0,황학동,1,884,428
1,황학동,2,353,218
2,황학동,3,154,128
3,황학동,4,377,212
4,황학동,5,154,86
5,황학동,6,290,161
6,황학동,7,728,409
7,황학동,8,762,572
8,황학동,9,555,453
9,황학동,10,134,85
10,황학동,11,179,102
11,황학동,12,107,75
12,황학동,13,183,157
13,황학동,14,431,266
14,황학동,15,643,449
15,황학동,16,553,330
16,황학동,17,190,112
0,청구동,1,266,159
1,청구동,2,292,165
2,청구동,3,216,117
3,청구동,4,399,220
4,청구동,5,568,274
5,청구동,6,344,154
6,청구동,7,694,377
7,청구동,8,554,344
8,청구동,9,656,393
9,청구동,10,268,199
10,청구동,11,1142,468
11,청구동,12,895,313
12,청구동,13,890,327
13,청구동,14,476,232
0,약수동,1,599,327
1,약수동,2,576,300
2,약수동,3,487,220
3,약수동,4,511,274
4,약수동,5,279,127
5,약수동,6,156,87
6,약수동,7,507,376
7,약수동,8,309,168
8,약수동,9,281,147
9,약수동,10,342,208
10,약수동,11,283,229
11,약수동,12,319,126
12,약수동,13,520,227
13,약수동,14,658,305
14,약수동,15,913,361
15,약수동,16,526,196
16,약수동,17,107,39
