,행정동명,통,총인구수,세대수,세대당인구
0,청구동,1,266,159,1.7083333333333333
1,청구동,2,292,165,1.78
2,청구동,3,216,117,1.8433333333333335
3,청구동,4,399,220,1.7971428571428572
4,청구동,5,568,274,1.875
5,청구동,6,344,154,2.23
6,청구동,7,694,377,1.8199999999999998
7,청구동,8,554,344,1.6166666666666665
8,청구동,9,656,393,1.7616666666666667
9,청구동,10,268,199,1.3780000000000001
10,청구동,11,1142,468,2.4476923076923076
11,청구동,12,895,313,2.85625
12,청구동,13,890,327,2.663
13,청구동,14,1112,538,2.085
14,청구동,15,435,238,1.83
15,청구동,16,676,417,1.625
16,청구동,17,1070,371,2.8777777777777778
17,청구동,18,808,300,2.65375
18,청구동,19,899,348,2.5625
19,청구동,20,734,422,1.74
0,약수동,1,599,327,1.76
1,약수동,2,576,300,1.9787499999999998
2,약수동,3,487,220,2.1719999999999997
3,약수동,4,511,274,1.828
4,약수동,5,279,127,1.9883333333333333
5,약수동,6,156,87,1.7300000000000002
6,약수동,7,507,376,1.3533333333333333
7,약수동,8,309,168,1.815
8,약수동,9,281,147,1.8942857142857144
9,약수동,10,342,208,1.7750000000000001
10,약수동,11,283,229,1.26
11,약수동,12,319,126,2.4259999999999997
12,약수동,13,520,227,2.26
13,약수동,14,658,305,2.145555555555555
14,약수동,15,913,361,2.5300000000000002
15,약수동,16,526,196,2.6833333333333336
16,약수동,17,778,276,2.8299999999999996
17,약수동,18,842,358,2.2927272727272725
18,약수동,19,583,214,2.7283333333333335
19,약수동,20,839,341,2.437
20,약수동,21,705,254,2.7785714285714285
21,약수동,22,813,331,2.424
22,약수동,23,395,136,2.875
23,약수동,24,422,153,2.7600000000000002
24,약수동,25,558,321,1.7366666666666666
25,약수동,26,561,337,1.6633333333333333
26,약수동,27,355,197,1.8033333333333335
27,약수동,28,442,251,1.76
28,약수동,29,406,231,1.7583333333333335
29,약수동,30,567,339,1.6749999999999998
30,약수동,31,568,337,1.6883333333333335
0,황학동,1,884,428,2.315
1,황학동,2,353,218,1.6849999999999998
2,황학동,3,154,128,1.3949999999999998
3,황학동,4,377,212,1.80625
4,황학동,5,154,86,1.794285714285714
5,황학동,6,290,161,1.805
6,황학동,7,728,409,1.842857142857143
7,황학동,8,762,572,1.5066666666666668
8,황학동,9,555,453,1.46
9,황학동,10,134,85,1.576
10,황학동,11,179,102,1.71
11,황학동,12,107,75,1.466
12,황학동,13,183,157,1.442
13,황학동,14,431,266,1.76
14,황학동,15,643,449,1.4142857142857144
15,황학동,16,553,330,1.682
16,황학동,17,247,150,1.7125
17,황학동,18,719,473,1.6500000000000001
18,황학동,19,318,231,1.5650000000000002
19,황학동,20,738,319,2.3033333333333332
20,황학동,21,719,310,2.316666666666667
21,황학동,22,668,259,2.586
22,황학동,23,725,305,2.39
23,황학동,24,751,325,2.3066666666666666
24,황학동,25,597,336,1.7833333333333332
25,황학동,26,780,653,1.2066666666666668
