,행정동명,통,총인구수,세대수,노드
0,동화동,1,448,190,"1,18"
1,동화동,2,286,152,"35,47"
2,동화동,3,412,218,125
3,동화동,4,471,205,115
4,동화동,5,366,183,
5,동화동,6,673,244,2
6,동화동,7,703,247,
7,동화동,8,717,247,3
8,동화동,9,350,161,118
9,동화동,10,514,220,"49,50,12"
10,동화동,11,463,216,
11,동화동,12,345,204,
12,동화동,13,751,277,
13,동화동,14,756,250,
14,동화동,15,580,217,
15,동화동,16,259,98,
16,신당제5동,1,291,183,
17,신당제5동,2,571,439,
18,신당제5동,3,469,301,"132,102,137"
19,신당제5동,4,631,341,"127,104"
20,신당제5동,5,615,271,"68,138,105"
21,신당제5동,6,374,194,
22,신당제5동,7,328,161,
23,신당제5동,8,641,235,
24,신당제5동,9,471,175,122
25,신당제5동,10,519,192,
26,신당제5동,11,514,194,
27,신당제5동,12,488,251,
28,신당제5동,13,437,172,
29,신당제5동,14,407,217,
30,신당제5동,15,471,247,"61,128,"
31,신당제5동,16,681,338,
32,신당제5동,17,203,147,"130,135,134"
33,신당동,1,332,195,"7,99,83"
34,신당동,2,569,449,"142,158,147,148,146,153,155,145,110,156,157,143,144,162,140,154,141,108,73,36,8,109"
35,신당동,3,360,284,"60,32,150,164,37,160"
36,신당동,4,265,193,"159,24,166,163,152"
37,신당동,5,340,240,41
38,신당동,6,417,257,"38,74"
39,신당동,7,154,116,107
40,신당동,8,393,244,27
41,신당동,9,214,152,"57,70,52"
42,신당동,10,133,79,"33,20,14"
43,신당동,11,169,108,4
44,신당동,12,245,137,
45,신당동,13,605,328,"13,169"
46,신당동,14,472,255,
47,신당동,15,360,198,
48,신당동,16,338,200,
49,신당동,17,471,294,"51,64,56,59,151,26,42"
50,신당동,18,886,385,
51,신당동,19,699,622,"91,21,53,67,63"
52,황학동,1,884,428,
53,황학동,2,353,218,
54,황학동,3,154,128,
55,황학동,4,377,212,
56,황학동,5,154,86,
57,황학동,6,290,161,
58,황학동,7,728,409,
59,황학동,8,762,572,
60,황학동,9,555,453,
61,황학동,10,134,85,
62,황학동,11,179,102,
63,황학동,12,107,75,
64,황학동,13,183,157,
65,황학동,14,431,266,
66,황학동,15,643,449,
67,황학동,16,553,330,
68,황학동,17,190,112,
69,청구동,1,266,159,
70,청구동,2,292,165,
71,청구동,3,216,117,
72,청구동,4,399,220,
73,청구동,5,568,274,
74,청구동,6,344,154,
75,청구동,7,694,377,
76,청구동,8,554,344,
77,청구동,9,656,393,
78,청구동,10,268,199,
79,청구동,11,1142,468,
80,청구동,12,895,313,
81,청구동,13,890,327,
82,청구동,14,476,232,
83,약수동,1,599,327,
84,약수동,2,576,300,
85,약수동,3,487,220,
86,약수동,4,511,274,
87,약수동,5,279,127,
88,약수동,6,156,87,
89,약수동,7,507,376,
90,약수동,8,309,168,
91,약수동,9,281,147,
92,약수동,10,342,208,
93,약수동,11,283,229,
94,약수동,12,319,126,
95,약수동,13,520,227,
96,약수동,14,658,305,
97,약수동,15,913,361,
98,약수동,16,526,196,
99,약수동,17,107,39,
